,name,github_id,homepage,category,license,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,pypi_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,docs_url,update_at,trending,gitlab_id,labels,gitlab_url,doc_url,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page
0,Colosseum,CodexLabsLLC/Colosseum,https://codexlabsllc.github.io/Colosseum/,aerial,MIT,https://github.com/CodexLabsLLC/Colosseum,2022-07-23 10:32:41,2026-07-08 00:44:55,2025-12-08 14:09:27,3717.0,189.0,25.0,48.0,62.0,26.0,670.0,2025-08-08 18:22:02,2.3.0,20039.0,435.0,6.0,Open source simulator for autonomous robotics built on Unreal Engine with support for Unity.,259.0,22,True,1.0,,,,,,,,,,,,,,,,,
1,Gazebo Classic,gazebosim/gazebo-classic,https://classic.gazebosim.org/,robotics,Apache-2,https://github.com/gazebosim/gazebo-classic,2020-04-19 04:26:21,2024-12-03 13:17:30,2024-12-03 13:13:52,32589.0,505.0,8.0,337.0,1466.0,1588.0,1350.0,,,,,,"Gazebo classic. For the latest version, see https://github.com/gazebosim/gz-sim.",202.0,20,False,1.0,,,,,,,,,,,,,,,,,
2,Self Driving Car,udacity/self-driving-car-sim,https://github.com/udacity/self-driving-car-sim,auto,mit,https://github.com/udacity/self-driving-car-sim,2017-02-08 03:31:26,2022-02-24 12:49:52,2022-02-24 12:49:52,26.0,1464.0,2.0,16.0,53.0,70.0,3982.0,2017-07-11 20:07:27,T3_v1.2,73016.0,651.0,11.0,A self-driving car simulator built with Unity.,8.0,16,False,1.0,,,,,,,,,,,,,,,,,
3,Gymnasium,Farama-Foundation/Gymnasium,https://gymnasium.farama.org/,ml,,,,,,,,,,,,,,,,4339531.0,,,612.0,16,True,1.0,gymnasium,23536.0,23536.0,https://pypi.org/project/gymnasium,4339531.0,,,,,,,,,,,,
4,UUV Simulator,uuvsimulator/uuv_simulator,https://uuvsimulator.github.io/,maritime,apache-2,https://github.com/uuvsimulator/uuv_simulator,2016-07-13 11:21:05,2023-08-08 15:18:36,2020-06-15 14:57:59,1275.0,320.0,4.0,285.0,106.0,75.0,888.0,,,,,,Gazebo/ROS packages for underwater robotics simulation.,21.0,15,False,1.0,,,,,,,,,,,,,,,,,
5,HoloOcean,byu-holoocean/HoloOcean,https://byu-holoocean.github.io/holoocean-docs/,maritime,MIT and Unreal Engine EULA,,2020-10-04,2020-10-04,2026-02-05,200.0,47.0,,,20.0,163.0,98.0,2026-02-05,2.3.0,,,8.0,"A UE5 based simulator for marine perception and autonomy, with multi-agent communications and many common underwater..",11.0,12,True,1.0,,,,,,https://byu-holoocean.github.io/holoocean-docs/,2026-02-05,,,,,,,,,,
6,PyRender,mmatl/pyrender,http://pyrender.readthedocs.io/,render,,,,,,,,,,,,,,,,1105397.0,,,23.0,12,True,1.0,pyrender,3245.0,3245.0,https://pypi.org/project/pyrender,1105397.0,,,,,,,,,,,,
7,LRAUV,osrf/lrauv,https://github.com/osrf/lrauv,maritime,Apache-2.0,https://github.com/osrf/lrauv,2021-11-02 07:33:35,2025-03-18 04:22:21,2025-03-18 04:22:08,357.0,18.0,4.0,176.0,16.0,94.0,79.0,,,,,,Packages for simulating the Tethys-class Long-Range AUV (LRAUV) from the Monterey Bay Aquarium Research Institute..,11.0,10,False,2.0,,,,,,,,,,,,,,,,,
8,Bevy,bevyengine/bevy,https://bevy.org/,game,,,,,,,,,,,,,,,,,,,1666.0,10,True,1.0,,26270.0,26270.0,,,,,-29.0,,,,,,,,,
9,Gymnasium Robotics,Farama-Foundation/Gymnasium-Robotics,https://robotics.farama.org/,ml,,,,,,,,,,,,,,,,26340.0,,,44.0,9,True,1.0,gymnasium-robotics,352.0,352.0,https://pypi.org/project/gymnasium-robotics,26340.0,,,,,,,,,,,,
10,Flightgear,,https://www.flightgear.org/,aerial,gnu-gpl2,,2015-03-04 07:33:36,2015-03-04 07:33:36,,,86.0,,,236.0,403.0,79.0,,,,,0.0,FlightGear open-source flight simulator [flightgear.org](https://www.flightgear.org).,,8,True,1.0,,,,,,,,,flightgear/flightgear,[],https://gitlab.com/flightgear/flightgear,,,,,,
11,Robwork,,http://robwork.dk/,robotics,apache-2,,2016-04-07 10:41:55,2016-04-07 10:41:55,,,66.0,,,17.0,94.0,33.0,,,,,0.0,"RobWork is a collection of C++ libraries for simulation and control of robot systems, see http://robwork.dk To get..",,8,True,1.0,,,,,,,,,sdurobotics/RobWork,,https://gitlab.com/sdurobotics/RobWork,,,,,,
12,mjlab,mujocolab/mjlab,https://github.com/mujocolab/mjlab,ml,Apache-2,,,,,,,,,,,,,,,69496.0,,,57.0,8,True,1.0,mjlab,,,https://pypi.org/project/mjlab,69496.0,,,,,,,https://github.com/mujocolab/mjlab/blob/main/README.md,,,,,
13,mujoco,google-deepmind/mujoco,https://mujoco.org/,robotics,,,,,,,,,,,,,,,,,,,152.0,8,True,1.0,,5869.0,5869.0,,,,,-30.0,,[],,,,,,,
14,airsim,microsoft/AirSim,{},aerial,mit,,,,,,,,,,,,,,,,,,249.0,8,False,1.0,,452.0,452.0,,,,,,,,,https://microsoft.github.io/AirSim/,,,,,
15,Metaworld,Farama-Foundation/Metaworld,https://metaworld.farama.org/,ml,,,,,,,,,,,,,,,,29500.0,,,48.0,8,True,1.0,metaworld,118.0,118.0,https://pypi.org/project/metaworld,29500.0,,,,,,,,,,,,
16,SimSpark,,https://gitlab.com/robocup-sim/SimSpark,robotics,Missing,,2017-10-13 09:44:12,2017-10-13 09:44:12,2025-01-21,,8.0,,,28.0,29.0,22.0,,,,,38.0,A generic physical simulator.,,7,True,2.0,,,,,,,,,robocup-sim/SimSpark,,https://gitlab.com/robocup-sim/SimSpark,,,,,,
17,Carla,carla-simulator/carla,https://carla.org/,auto,,,,,,,,,,,,,,,,,,,203.0,7,True,2.0,,1130.0,1130.0,,,,,,,[],,,,,,,
18,jaxsim,ami-iit/jaxsim,https://jaxsim.readthedocs.io,ml,,,2024-02-04 08:51:02.484000,2026-04-29 13:23:30.608000,,,,,,,,,,,,4590.0,14.0,A differentiable physics engine and multibody dynamics library for control and robot learning.,16.0,7,True,2.0,jaxsim,4.0,4.0,https://pypi.org/project/jaxsim,3890.0,,,,,,,,conda-forge/jaxsim,https://anaconda.org/conda-forge/jaxsim,2026-04-29 13:23:30.608,21726.0,
19,BRAX,google/brax,{},physics,Apache-2,,,,,,,,,,,,,,,,,,55.0,7,False,1.0,,612.0,612.0,,,,,,,,,,,,,,
20,Pinocchio,stack-of-tasks/pinocchio,http://stack-of-tasks.github.io/pinocchio/,physics,,,,,,,,,,,,,,,,1086860.0,,,125.0,7,True,1.0,pin,,,https://pypi.org/project/pin,1086860.0,,,,,,,,,,,,
21,Bullet Physics SDK,bulletphysics/bullet3,http://bulletphysics.org/,physics,zlib,,,,,,,,,,,,,,,,,,311.0,5,True,2.0,,24.0,24.0,,,,,,,[],,,,,,,
22,Godot,godotengine/godot,https://godotengine.org/,game,,,,,,,,,,,,,,,,,,,3937.0,5,True,2.0,,24.0,24.0,,,,,-40.0,,[],,,,,,,
23,AI2-thor,allenai/ai2thor,https://ai2thor.allenai.org/,ml,,,,,,,,,,,,,,,,,,,53.0,5,True,2.0,,402.0,402.0,,,,,,,,,,,,,,
24,IR-SIM,hanruihua/ir-sim,https://ir-sim.readthedocs.io/en,flatsim,,,,,,,,,,,,,,,,1366.0,,,15.0,5,True,1.0,ir-sim,16.0,16.0,https://pypi.org/project/ir-sim,1366.0,,,,,,,,,,,,
25,Avian 3D,Jondolf/avian,https://crates.io/crates/avian3d,physics,,,,,,,,,,,,,,,,,,,91.0,5,True,2.0,,398.0,398.0,,,,,,,,,,,,,,
26,NVIDIA Isaac Sim Isaac Lab,isaac-sim/IsaacLab,https://isaac-sim.github.io/IsaacLab,ml,BSD-3-Clause,,,,,,,,,,,,,,,,,,242.0,4,True,2.0,,,,,,,,,,[],,,,,,,
27,Drake,RobotLocomotion/drake,https://drake.mit.edu/,physics,BSD-3-Clause,,,,,,,,,,,,,,,,,,282.0,4,True,2.0,,,,,,,,-28.0,,[],,,,,,,
28,Habitat Sim,facebookresearch/habitat-sim,https://aihabitat.org/,ml,,,,,,,,,,,,,,,,,,,64.0,4,True,2.0,,76.0,76.0,,,,,,,,,,,,,,
29,Genesis,Genesis-Embodied-AI/Genesis,{},ml,,,,,,,,,,,,,,,,,,,113.0,4,False,2.0,,127.0,127.0,,,,,,,,,,,,,,
30,Cosys-AirSim,Cosys-Lab/Cosys-AirSim,https://cosys-lab.github.io/Cosys-AirSim/,aerial,mit,,,,,,,,,,,,,,,,,,270.0,4,True,2.0,,,,,,,,,,,,,,,,,
31,Project CHRONO,projectchrono/chrono,https://projectchrono.org,physics,BSD 3-Clause,,,,,,,,,,,,,,,,,,155.0,4,True,2.0,,,,,,,,,,,,,,,,,
32,UNav-Sim,open-airlab/UNav-Sim,{},maritime,MIT,,,,,,,,,,,,,,,,,,252.0,4,False,2.0,,,,,,,,,,,,,,,,,
33,Sapien,haosulab/SAPIEN,https://sapien.ucsd.edu/,ml,,,,,,,,,,,,,,,,,,,20.0,4,True,2.0,,256.0,256.0,,,,,,,,,,,,,,
34,PyFlyt,jjshoots/PyFlyt,{},aerial,,,,,,,,,,,,,,,,789.0,,,12.0,4,False,2.0,pyflyt,39.0,39.0,https://pypi.org/project/pyflyt,789.0,,,,,,,,,,,,https://taijunjet.com/PyFlyt/index.html
35,HighwayEnv,Farama-Foundation/HighwayEnv,https://highway-env.farama.org/,others,,,,,,,,,,,,,,,,4253.0,,,61.0,4,True,1.0,highway-env,,,https://pypi.org/project/highway-env,4253.0,,,-27.0,,,,,,,,,
36,ARGoS,ilpincy/argos3,https://www.argos-sim.info/,robotics,MIT,,,,,,,,,,,,,,,,,,25.0,3,True,2.0,,,,,,,,,,[],,,,,,,
37,pyrobosim,sea-bass/pyrobosim,https://pyrobosim.readthedocs.io/,flatsim,,,,,,,,,,,,,,,,769.0,,,20.0,3,True,2.0,pyrobosim,9.0,9.0,https://pypi.org/project/pyrobosim,769.0,,,,,[],,,,,,,
