,name,github_id,labels,category,license,homepage,show,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,github_release_downloads,monthly_downloads,pypi_id,pypi_url,pypi_monthly_downloads,docs_url,update_at,trending,gitlab_id,gitlab_url,doc_url,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page
105,Stewart Platform Simulator,rawify/Stewart.js,,domain,,https://raw.org/research/inverse-kinematics-of-a-stewart-platform/,True,,,,,,,,,,,,,,,,4.0,4.0,,1,2.0,,,,,,,,,,,,,,,,
106,LocoMuJoCo,robfiras/loco-mujoco,,ml,,https://loco-mujoco.readthedocs.io/,True,,,,,,,,,,,,,,,,8.0,8.0,15.0,1,3.0,,,,,,,,,,,,,,,,
107,MATLAB Robotics Systems Toolbox,,,robotics,Proprietary Software License,https://www.mathworks.com/products/robotics.html,True,,,,,,,,,,,,,,,,,,,1,3.0,,,,,,,,,,,,,,,,
108,Simscape,,,physics,Proprietary Software License,https://www.mathworks.com/products/simscape.html,True,,,,,,,,,,,,,,,,,,,1,3.0,,,,,,,,,,,,,,,,
109,Roadrunner,,,domain,Proprietary Software License,https://www.mathworks.com/products/roadrunner.html,True,,,,,,,,,,,,,,,,,,,1,2.0,,,,,,,,,,,,,,,,
110,Reinforcement Learning Toolbox,,,ml,Proprietary Software License,https://www.mathworks.com/products/reinforcement-learning.html,True,,,,,,,,,,,,,,,,,,,1,3.0,,,,,,,,,,,,,,,,
111,RoSi,,,robotics,Proprietary Software License,https://www.robotec.ai/products,True,,,,,,,,,,,,,,,,,,,1,3.0,,,,,,,,,,,,,,,,
112,RaiSim,raisimTech/raisimlib,,physics,Proprietary Software License,https://raisim.com/,True,,,,,,,,,,,,,,,,,,17.0,1,3.0,,,,,,,,,,,,,,,,
113,UWSim-NET,uji-ros-pkg/underwater_simulation,,maritime,,{},False,,,,,,,,,,,,,,,,,,25.0,1,3.0,,,,,,,,,,,,,,,,
114,Moos-ivp,moos-ivp/moos-ivp,,maritime,GPLv3 LGPLv3 and Commercial,{},False,,,,,,,,,,,,,,,,,,19.0,1,3.0,,,,,,,,,,,,,,,,
115,Basilisk,AVSLab/basilisk,,space,,{},False,,,,,,,,,,,,,,,,,,123.0,1,2.0,,,,,,,,,,,,,,,,
116,Astrobee,NASA/astrobee,,space,,{},False,,,,,,,,,,,,,,,,,,22.0,1,2.0,,,,,,,,,,,,,,,,
117,K-Sim,kscalelabs/ksim,,ml,,https://docs.kscale.dev/docs/ksim,True,,,,,,,,,,,,,,,,,,9.0,1,3.0,,130.0,ksim,https://pypi.org/project/ksim,130.0,,,,,,,,,,,
118,Newton (Physics),newton-physics/newton,,robotics,,https://newton-physics.github.io/newton/,True,,,,,,,,,,,,,,,,,,104.0,1,3.0,,,,,,,,,,,,,,,,
119,Graspit!,graspit-simulator/graspit,,domain,,{},False,,,,,,,,,,,,,,,,,,25.0,1,2.0,,,,,,,,,,,,,,,,
120,PyFleX,YunzhuLi/PyFleX,,physics,Nvidia Software License,{},False,,,,,,,,,,,,,,,,,,,1,3.0,,,,,,,,,,,,,,,,
121,Virtual RobotX,osrf/vrx,,maritime,,{},False,,,,,,,,,,,,,,,,,,38.0,1,3.0,,,,,,,,,,,,,,,,
122,DexterousHands,PKU-MARL/DexterousHands,,domain,,{},False,,,,,,,,,,,,,,,,5.0,5.0,9.0,1,2.0,,,,,,,,,,,,,,,,
123,gym-softrobot,skim0119/gym-softrobot/,,domain,,{},False,,,,,,,,,,,,,,,,2.0,2.0,,1,2.0,,96.0,gym-softrobot,https://pypi.org/project/gym-softrobot,96.0,,,,,,,,,,,
124,Mars Explorer,dimikout3/MarsExplorer,,space,no license,{},False,,,,,,,,,,,,,,,,,,3.0,1,2.0,,,,,,,,,,,,,,,,
125,Spleenlab simulator,,,aerial,proprietary,https://spleenlab.com/,True,,,,,,,,,,,,,,,,,,,1,3.0,,,,,,,,,,,,,,,,
126,Roblox,,,game,proprietary,https://www.roblox.com/,True,,,,,,,,,,,,,,,,,,,1,3.0,,,,,,,,,,,,,,,,
127,FlightForge,ctu-mrs/mrs_uav_flightforge_simulator,,aerial,GLP-2.0,{},False,,,,,,,,,,,,,,,,,,11.0,1,3.0,,,,,,,,,,,,,,,,
128,ProtoTwin,,,robotics,proprietary license,https://prototwin.com/,True,,,,,,,,,,,,,,,,,,,1,3.0,,,,,,,,,,,,,,,,
129,pysimverse,cvzone/pysimverse,,aerial,MIT,{},False,,,,,,,,,,,,,,,,,,2.0,1,3.0,,,,,,,,,,,,,,,,
130,Gears,QuirkyCort/gears,,robotics,GPLv3,https://gears.aposteriori.com.sg/,True,,,,,,,,,,,,,,,,,,14.0,1,3.0,,,,,,,,,,,,,,,,
131,mvsim,MRPT/mvsim,[],flatsim,,{},False,,,,,,,,,,,,,,,,,,9.0,0,,,,,,,,,,,,https://mvsimulator.readthedocs.io/,,,,,
132,Pegasus Simulator,PegasusSimulator/PegasusSimulator,[],aerial,,https://pegasussimulator.github.io/PegasusSimulator/,True,,,,,,,,,,,,,,,,,,6.0,0,,,,,,,,,,,,,,,,,
133,Aerial Gym Simulator,ntnu-arl/aerial_gym_simulator,[],aerial,,https://ntnu-arl.github.io/aerial_gym_simulator/,True,,,,,,,,,,,,,,,,,,4.0,0,,,,,,,,,,,,,,,,,
134,RotorTM,arplaboratory/RotorTM,[],aerial,,{},False,,,,,,,,,,,,,,,,,,3.0,0,,,,,,,,,,,,,,,,,
135,rotorpy,spencerfolk/rotorpy,[],aerial,,{},False,,,,,,,,,,,,,,,,,,10.0,0,,,,,,,,,,,,,,,,,
136,PhysX 5,NVIDIA-Omniverse/PhysX,[],physics,,https://nvidia-omniverse.github.io/PhysX/,True,,,,,,,,,,,,,,,,,,11.0,0,,,,,,,,,,,,,,,,,
137,Unity Rendering Plugin,Unity-Technologies/NativeRenderingPlugin,[],render,,https://docs.unity3d.com/Manual/NativePluginInterface.html,True,,,,,,,,,,,,,,,,,,13.0,0,,,,,,,,,,,,,,,,,
138,Stonefish,patrykcieslak/stonefish,,maritime,,https://stonefish.readthedocs.io/,True,,,,,,,,,,,,,,,,,,13.0,0,,,,,,,,,,,,,,,,,
139,Flatland,avidbots/flatland,,flatsim,,https://flatland-simulator.readthedocs.io/,True,,,,,,,,,,,,,,,,,,14.0,0,,,,,,,,,,,,,,,,,
140,Ros2 For Unity,RobotecAI/ros2-for-unity,,robotics,,{},False,,,,,,,,,,,,,,,,,,12.0,0,,,,,,,,,,,,,,,,,
141,UnrealZoo,UnrealZoo/unrealzoo-gym,,ml,,https://unrealzoo.site/,True,,,,,,,,,,,,,,,,,,6.0,0,,,,,,,,,,,,,,,,,
142,Deepdrive,deepdrive/deepdrive,,ml,,https://deepdrive.io/,True,,,,,,,,,,,,,,,,,,6.0,0,,,,,,,,,,,,,,,,,
143,Safe Control Gym,utiasDSL/safe-control-gym,,ml,,https://www.dynsyslab.org/safe-robot-learning/,True,,,,,,,,,,,,,,,,,,20.0,0,,,,,,,,,,,,,,,,,
144,Gibson,StanfordVL/GibsonEnv,,ml,,http://gibsonenv.stanford.edu/,True,,,,,,,,,,,,,,,,,,9.0,0,,,,,,,,,,,,,,,,,
145,MetaDrive,metadriverse/metadrive/,,ml,,https://metadriverse.github.io/metadrive-simulator/,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
146,Arnold,arnold-benchmark/arnold,,ml,,https://arnold-benchmark.github.io/,True,,,,,,,,,,,,,,,,,,3.0,0,,,,,,,,,,,,,,,,,
147,PyRep,stepjam/PyRep,,ml,,{},False,,,,,,,,,,,,,,,,,,20.0,0,,,,,,,,,,,,,,,,,
148,LunarSim,PUTvision/LunarSim,,space,Missing,{},False,,,,,,,,,,,,,,,,,,2.0,0,,,,,,,,,,,,,,,,,
149,MuJoCo playground,google-deepmind/mujoco_playground/,,ml,,https://playground.mujoco.org/,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
150,URSim,srmauvsoftware/URsim,,maritime,,{},False,,,,,,,,,,,,,,,,,,3.0,0,,,,,,,,,,,,,,,,,
151,ds sim,,,maritime,,https://bitbucket.org/whoidsl/ds_sim/src/master/,False,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
152,Freefloating,freefloating-gazebo/freefloating_gazebo,,maritime,,{},False,,,,,,,,,,,,,,,,,,8.0,0,,,,,,,,,,,,,,,,,
153,MARS,iti-luebeck/mars,,maritime,,{},False,,,,,,,,,,,,,,,,,,14.0,0,,,,,,,,,,,,,,,,,
154,USARSim,,,maritime,,https://sourceforge.net/projects/usarsim/,False,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
155,MARUSimulator,MARUSimulator/marus-core,,maritime,,{},False,,,,,,,,,,,,,,,,,,8.0,0,,,,,,,,,,,,,,,,,
156,swarm_sync_sim,shupx/swarm_sync_sim,,aerial,,{},False,,,,,,,,,,,,,,,,,,3.0,0,,,,,,,,,,,,,,,,,
157,AutoDRIVE Simulator,Tinker-Twins/AutoDRIVE,,domain,,https://github.com/Tinker-Twins/AutoDRIVE/tree/AutoDRIVE-Simulator,True,,,,,,,,,,,,,,,,,,3.0,0,,,,,,,,,,,,,,,,,
158,FleX,NVIDIAGameWorks/FleX,,physics,Nvidia Software License,{},False,,,,,,,,,,,,,,,,,,2.0,0,,,,,,,,,,,,,,,,,
159,Strech MuJoCo,hello-robot/stretch_mujoco,,domain,,{},False,,,,,,,,,,,,,,,,,,8.0,0,,,,,,,,,,,,,,,,,
160,Isaac Drone Racer,kousheekc/isaac_drone_racer,,aerial,,{},False,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
161,Gymfc,wil3/gymfc/,,aerial,,http://wfk.io/neuroflight/,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
162,Panda-Gym,qgallouedec/panda-gym,,domain,,{},False,,,,,,,,,,,,,,,,,,9.0,0,,,,,,,,,,,,,,,,,https://panda-gym.readthedocs.io/en/latest/
163,OmniIsaacGymEnvs,isaac-sim/OmniIsaacGymEnvs,,ml,,{},False,,,,,,,,,,,,,,,,,,6.0,0,,,,,,,,,,,,,,,,,
164,Itomori,gustavo-moura/itomori,,aerial,,{},False,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
165,BSK-RL,AVSLab/bsk_rl,,space,,https://avslab.github.io/bsk_rl/,True,,,,,,,,,,,,,,,,,,11.0,0,,,,,,,,,,,,,,,,,
166,racecar_gym,axelbr/racecar_gym/,,ml,,{},False,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
167,Ardupilot_Multiagent_Simulation,aau-cns/Ardupilot_Multiagent_Simulation,,aerial,,{},False,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
168,Project AirSim,iamaisim/ProjectAirSim,,aerial,,https://iamaisim.github.io/ProjectAirSim/,True,,,,,,,,,,,,,,,,,,18.0,0,,,,,,,,,,,,,,,,,
169,UAIbot,UAIbot/UAIbotPy,,ml,,https://uaibot.github.io/,True,,,,,,,,,,,,,,,,,,3.0,0,,,,,,,,,,,,,,,,,
170,optimAero PX4,optimAero/optimAeroPX4SIL,,aerial,,https://optim.aero/px4silsimulink.html,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
171,Crazyflow,utiasDSL/crazyflow,,aerial,,{},False,,,,,,,,,,,,,,,,2.0,2.0,11.0,0,,,,,,,,,,,,,,,,,
172,CrazyS,gsilano/CrazyS,[],aerial,,{},False,,,,,,,,,,,,,,,,,,2.0,-1,3.0,,,,,,,,,,,,,,,,
173,UW-Morse,eirikhex/UW-MORSE,,maritime,,{},False,,,,,,,,,,,,,,,,,,2.0,-1,3.0,,,,,,,,,,,,,,,,
174,DWA_Algorithm_PYTHON,EricChen0104/DWA_Algorithm_PYTHON,,flatsim,,{},False,,,,,,,,,,,,,,,,,,2.0,-1,3.0,,,,,,,,,,,,,,,,
175,multi-agent_sim,tjards/multi-agent_sim,,domain,,{},False,,,,,,,,,,,,,,,,,,2.0,-1,3.0,,,,,,,,,,,,,,,,
