,name,github_id,category,homepage,pypi_id,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,license,star_count,docs_url,release_count,latest_stable_release_number,latest_stable_release_published_at,update_at,last_commit_pushed_at,created_at,fork_count,commit_count,open_issue_count,closed_issue_count,updated_at,trending,gitlab_id,labels,gitlab_url,doc_url,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page
11,mujoco,google-deepmind/mujoco,robotics,https://mujoco.org/,,5792.0,5792.0,137.0,,,,,7,True,1.0,,,,,,,,,,,,,,,-31.0,,[],,,,,,,
12,Carla,carla-simulator/carla,auto,https://carla.org/,,1128.0,1128.0,203.0,,,,,7,True,1.0,,,,,,,,,,,,,,,,,[],,,,,,,
13,jaxsim,ami-iit/jaxsim,ml,https://jaxsim.readthedocs.io,jaxsim,4.0,4.0,16.0,https://pypi.org/project/jaxsim,1056.0,1740.0,A differentiable physics engine and multibody dynamics library for control and robot learning.,7,True,2.0,,,,14.0,,,,,2024-02-04 08:51:02.484000,,,,,2026-04-29 13:23:30.608000,,,,,,conda-forge/jaxsim,https://anaconda.org/conda-forge/jaxsim,2026-04-29 13:23:30.608,21225.0,
14,BRAX,google/brax,physics,{},,605.0,605.0,55.0,,,,,7,False,1.0,Apache-2,,,,,,,,,,,,,,,,,,,,,,,
15,Pinocchio,stack-of-tasks/pinocchio,physics,http://stack-of-tasks.github.io/pinocchio/,pin,,,124.0,https://pypi.org/project/pin,1056595.0,1056595.0,,7,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,
16,Gym,openai/gym,ml,https://www.gymlibrary.dev/,,24.0,24.0,385.0,,,,,6,False,2.0,MIT,,,,,,,,,,,,,,,,[],,,,,,,
17,Bullet Physics SDK,bulletphysics/bullet3,physics,http://bulletphysics.org/,,24.0,24.0,311.0,,,,,5,True,2.0,zlib,,,,,,,,,,,,,,,,[],,,,,,,
18,Godot,godotengine/godot,game,https://godotengine.org/,,24.0,24.0,3925.0,,,,,5,True,2.0,,,,,,,,,,,,,,,-40.0,,[],,,,,,,
19,AI2-thor,allenai/ai2thor,ml,https://ai2thor.allenai.org/,,401.0,401.0,53.0,,,,,5,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,
20,IR-SIM,hanruihua/ir-sim,flatsim,https://ir-sim.readthedocs.io/en,ir-sim,16.0,16.0,15.0,https://pypi.org/project/ir-sim,1652.0,1652.0,,5,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,
21,Avian 3D,Jondolf/avian,physics,https://crates.io/crates/avian3d,,392.0,392.0,88.0,,,,,5,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,
22,Jiminy,duburcqa/jiminy,ml,{},jiminy-py,,,9.0,https://pypi.org/project/jiminy-py,1872.0,1872.0,,5,False,2.0,MIT,,,,,,,,,,,,,,,,,,,,,,,
23,Gazebo Classic,gazebosim/gazebo-classic,robotics,https://classic.gazebosim.org/,,,,202.0,,,,,4,False,2.0,Apache-2,,,,,,,,,,,,,,,,,,,,,,,
24,NVIDIA Isaac Sim Isaac Lab,isaac-sim/IsaacLab,ml,https://isaac-sim.github.io/IsaacLab,,,,242.0,,,,,4,True,2.0,BSD-3-Clause,,,,,,,,,,,,,,,,[],,,,,,,
25,Drake,RobotLocomotion/drake,physics,https://drake.mit.edu/,,,,281.0,,,,,4,True,2.0,BSD-3-Clause,,,,,,,,,,,,,,-28.0,,[],,,,,,,
26,Habitat Sim,facebookresearch/habitat-sim,ml,https://aihabitat.org/,,76.0,76.0,63.0,,,,,4,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,
27,Genesis,Genesis-Embodied-AI/Genesis,ml,{},,125.0,125.0,111.0,,,,,4,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,
28,Cosys-AirSim,Cosys-Lab/Cosys-AirSim,aerial,https://cosys-lab.github.io/Cosys-AirSim/,,,,268.0,,,,,4,True,2.0,mit,,,,,,,,,,,,,,,,,,,,,,,
29,Project CHRONO,projectchrono/chrono,physics,https://projectchrono.org,,,,155.0,,,,,4,True,2.0,BSD 3-Clause,,,,,,,,,,,,,,,,,,,,,,,
30,UNav-Sim,open-airlab/UNav-Sim,maritime,{},,,,252.0,,,,,4,False,1.0,MIT,,,,,,,,,,,,,,,,,,,,,,,
31,Sapien,haosulab/SAPIEN,ml,https://sapien.ucsd.edu/,,250.0,250.0,20.0,,,,,4,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,
32,PyFlyt,jjshoots/PyFlyt,aerial,{},pyflyt,39.0,39.0,12.0,https://pypi.org/project/pyflyt,804.0,804.0,,4,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,https://taijunjet.com/PyFlyt/index.html
33,HighwayEnv,Farama-Foundation/HighwayEnv,others,https://highway-env.farama.org/,highway-env,,,60.0,https://pypi.org/project/highway-env,5632.0,5632.0,,4,True,1.0,,,,,,,,,,,,,,,-27.0,,,,,,,,,
34,Colosseum,CodexLabsLLC/Colosseum,aerial,https://codexlabsllc.github.io/Colosseum/,,,,259.0,,,,,4,True,2.0,MIT,,,,,,,,,,,,,,,,,,,,,,,
35,ARGoS,ilpincy/argos3,robotics,https://www.argos-sim.info/,,,,25.0,,,,,3,True,2.0,MIT,,,,,,,,,,,,,,,,[],,,,,,,
36,pyrobosim,sea-bass/pyrobosim,flatsim,https://pyrobosim.readthedocs.io/,pyrobosim,9.0,9.0,20.0,https://pypi.org/project/pyrobosim,595.0,595.0,,3,True,2.0,,,,,,,,,,,,,,,,,[],,,,,,,
37,RotorS,ethz-asl/rotors_simulator,aerial,{},,,,49.0,,,,,3,False,2.0,mit,,,,,,,,,,,,,,,,[],,,,,,,
38,O3DE,o3de/o3de,game,https://o3de.org/,,,,345.0,,,,,3,True,2.0,MIT and Apache-2,,,,,,,,,,,,,,,,[],,,,,,,
39,O3DE for Robotics,o3de/o3de,robotics,https://o3de.org/,,,,345.0,,,,,3,True,2.0,MIT and Apache-2,,,,,,,,,,,,,,,,[],,,,,,,
40,Atom,o3de/o3de,render,https://docs.o3de.org/docs/atom-guide/,,,,345.0,,,,,3,True,2.0,Apache-2.0 and MIT,,,,,,,,,,,,,,,,[],,,,,,,
41,AWSim,tier4/AWSIM,auto,{},,,,36.0,,,,,3,False,2.0,apache-2,,,,,,,,,,,,,,,,,,,,,,,
42,UUV Simulator,uuvsimulator/uuv_simulator,maritime,https://uuvsimulator.github.io/,,,,21.0,,,,,3,False,2.0,apache-2,,,,,,,,,,,,,,,,,,,,,,,
43,OmiLRS,OmniLRS/OmniLRS,space,https://github.com/OmniLRS/OmniLRS/wiki,,,,22.0,,,,,3,True,1.0,BSD 3-Clause,,,,,,,,,,,,,,,,,,,,,,,
44,ESMINI,esmini/esmini,auto,{},,,,94.0,,,,,3,False,2.0,MPL-2,,,,,,,,,,,,,,,,,,,,,,,
45,IGibson,StanfordVL/iGibson,ml,https://svl.stanford.edu/igibson/,,14.0,14.0,34.0,,,,,3,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,
46,IsaacLab-HARL,some45bucks/IsaacLab-HARL,ml,https://some45bucks.github.io/IsaacLab-HARL/,,,,120.0,,,,,3,True,3.0,BSD-3-Clause,,,,,,,,,,,,,,,,,,,,,,,
47,Gazebo,gazebosim/gz-sim,robotics,https://gazebosim.org/home,,,,193.0,,,,,2,True,2.0,,,,,,,,,,,,,,,,,,,https://gazebosim.org/api/sim/9/,,,,,
48,Flightmare,uzh-rpg/flightmare,aerial,https://uzh-rpg.github.io/flightmare/,,,,7.0,,,,,2,True,2.0,MIT,,,,,,,,,,,,,,,,[],,,,,,,
49,FlightGoggles,mit-aera/FlightGoggles,aerial,https://flightgoggles.mit.edu/,,,,9.0,,,,,2,True,2.0,MIT,,,,,,,,,,,,,,,,[],,,,,,,
50,OpenRAVE,rdiankov/openrave,robotics,https://openrave.org/,,,,123.0,,,,,2,True,2.0,Apache-2 and LGPL-3,,,,,,,,,,,,,,,,[],,,,,,,
51,Unity Robotics Hub,Unity-Technologies/Unity-Robotics-Hub,robotics,{},,,,13.0,,,,,2,False,2.0,Apache-2,,,,,,,,,,,,,,,,[],,,,,,,
52,PyBullet Gym,benelot/pybullet-gym,ml,https://pybullet.org/,,,,14.0,,,,,2,True,3.0,MIT,,,,,,,,,,,,,,,,[],,,,,,,
53,ODE,thomasmarsh/ODE,physics,http://www.ode.org/,,,,34.0,,,,,2,True,2.0,gnu-gpl and BSD-3-clause,,,,,,,,,,,,,,,,[],,,,,,,
54,DART,dartsim/dart,physics,http://dartsim.github.io/,,9.0,9.0,79.0,,,,,2,True,2.0,,,,,,,,,,,,,,,,,[],,,,,,,
55,OGRE,OGRECave/ogre,render,https://www.ogre3d.org/,,,,343.0,,,,,2,True,2.0,,,,,,,,,,,,,,,,,[],,,,,,,
56,Holodeck,BYU-PCCL/holodeck,ml,{},,10.0,10.0,20.0,,,,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,
57,Morse,morse-simulator/morse,robotics,http://morse-simulator.github.io/,,,,59.0,,,,,2,False,2.0,OFL-1.1,,,,,,,,,,,,,,,,,,,,,,,
58,Roboschool,openai/roboschool,robotics,https://blog.openai.com/roboschool/,,,,9.0,,,,,2,False,2.0,mit,,,,,,,,,,,,,,,,,,,,,,,
59,ProcTHOR,allenai/procthor,ml,https://procthor.allenai.org/,,14.0,14.0,7.0,,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,
60,Self Driving Car,udacity/self-driving-car-sim,auto,{},,,,8.0,,,,,2,False,3.0,mit,,,,,,,,,,,,,,,,,,,,,,,
61,RoboCasa,robocasa/robocasa,ml,https://robocasa.ai/,,,,6.0,,,,,2,True,3.0,mit,,,,,,,,,,,,,,,,,,,,,,,
62,AGX Dynamics by Algoryx,,physics,https://www.algoryx.se/agx-dynamics/,,,,,,,,"AGX Dynamics, by Algoryx, is a modular physics simulation toolkit available in C++, C# and Python, on Windows, Mac and..",2,True,2.0,Proprietary Software License,,,,,,,,,,,,,,,,,,,,,,,
63,Ocean Sim,umfieldrobotics/OceanSim,maritime,{},,,,10.0,,,,,2,False,2.0,BSD 3-Clause,,,,,,,,,,,,,,,,,,,,,,,
64,UWSim,uji-ros-pkg/underwater_simulation,maritime,https://www.irs.uji.es/uwsim/wiki/index.php?title=Installing_UWSim,,,,25.0,,,,,2,False,2.0,GNU-gpl,,,,,,,,,,,,,,,,,,,,,,,
65,SMaRC 2,smarc-project/smarc2,maritime,{},,,,33.0,,,,,2,False,2.0,BSD-3-Clause and MIT,,,,,,,,,,,,,,,,,,,,,,,
66,robo-gym,jr-robotics/robo-gym,ml,{},,10.0,10.0,11.0,,,,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,
67,Fly Craft,GongXudong/fly-craft,aerial,{},flycraft,4.0,4.0,,https://pypi.org/project/flycraft,75.0,75.0,,2,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,
68,AutonomousVehicleControlBeginnersGuide,ShisatoYano/AutonomousVehicleControlBeginnersGuide,flatsim,{},,,,17.0,,,,,2,False,3.0,MIT,,,,,,,,,,,,,,,,,,,,,,,
69,Vehicle Dynamics Sim,abaeyens/vehicle_dynamics_sim,flatsim,{},,,,,,,,Simulates a variety of easily configurable bicycle and Ackermann vehicles with dynamic effects such as acceleration..,2,False,3.0,MIT,,,,,,,,,,,,,,,,,,,,,,,
70,DAVE for ROS 2,OES-Lab/dave,maritime,http://dave-ros2.notion.site,,,,,,,,,2,True,2.0,Apache-2,,,,,,,,,,,,,,,,,,,,,,,
71,Unreal Robotics Lab,URLab-Sim/UnrealRoboticsLab,robotics,https://urlab-sim.github.io/UnrealRoboticsLab/,,,,3.0,,,,,2,True,2.0,Apache-2,,,,,,,,,,,,,,,,,,,,,,,
72,Rbot,rlxai/rbot,robotics,{},,,,,,,,,2,False,2.0,Apache-2,,,,,,,,,,,,,,,,,,,,,,,
73,multipanda_ros2,tenfoldpaper/multipanda_ros2,domain,{},,,,15.0,,,,,2,False,1.0,Apache-2,,,,,,,,,,,,,,,,,,,,,,,
74,Webots,cyberbotics/webots,robotics,https://www.cyberbotics.com/,,,,147.0,,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,
75,CoppeliaSim core library,CoppeliaRobotics/coppeliaSimLib,robotics,http://coppeliarobotics.com/,,,,3.0,,,,,1,True,3.0,gnu-gpl,,,,,,,,,,,,,,,,[],,,,,,,
76,CoppeliaSim,,robotics,http://coppeliarobotics.com/,,,,,,,,,1,True,3.0,Proprietary Software License,,,,,,,,,,,,,,,,[],,,,,,,
77,NVIDIA Isaac Sim,isaac-sim/IsaacSim,robotics,https://developer.nvidia.com/isaac/sim,,,,5.0,,,,,1,True,3.0,Apache 2.0 and NVIDIA Omniverse License Agreement,,,,,,,,,,,,,,,,,,,,,,,
78,Gym Pybullet Drones,utiasDSL/gym-pybullet-drones,aerial,https://utiasdsl.github.io/gym-pybullet-drones/,,,,25.0,,,,,1,True,3.0,,,,,,,,,,,,,,,,,[],,,,,,,
79,Matlab UAV Toolbox,,aerial,https://www.mathworks.com/products/uav.html,,,,,,,,,1,True,3.0,MathWorks Software License Agreement,,,,,,,,,,,,,,,,[],,,,,,,
80,Realflight,,aerial,https://www.realflight.com/,,,,,,,,,1,True,3.0,proprietary software license,,,,,,,,,,,,,,,,[],,,,,,,
81,JSBSim,JSBSim-Team/jsbsim,physics,{},,,,77.0,,,,,1,False,3.0,,,,,,,,,,,,,,,,,[],,,,,,,
82,Unity,,game,https://unity.com/,,,,,,,,,1,True,3.0,Unity Subscription Plans,,,,,,,,,,,,,,,,[],,,,,,,
83,RobotBuilder,,robotics,https://new.abb.com/products/robotics/software-and-digital/robotstudio,,,,,,,,,1,True,3.0,Commercial software,,,,,,,,,,,,,,,,[],,,,,,,
84,Simbody,simbody/simbody,physics,https://simtk.org/home/simbody,,,,64.0,,,,,1,True,3.0,,,,,,,,,,,,,,,,,[],,,,,,,
85,TPE (part of gz-physics),gazebosim/gz-physics,physics,https://gazebosim.org/,,,,62.0,,,,,1,True,3.0,,,,,,,,,,,,,,,,,[],,,,,,,
86,PhysX SDK (legacy),NVIDIAGameWorks/PhysX,physics,https://nvidia-omniverse.github.io/PhysX/,,,,3.0,,,,,1,True,3.0,NVIDIA Omniverse License Agreement,,,,,,,,,,,,,,,,[],,,,,,,
87,Vortex,,physics,https://www.cm-labs.com/en/vortex-studio/,,,,,,,,,1,True,3.0,EULA,,,,,,,,,,,,,,,,[],,,,,,,
88,Newton Dynamics,newton-dynamics/newton-dynamics,physics,http://newtondynamics.com/,,,,,,,,,1,True,3.0,zlib,,,,,,,,,,,,,,,,[],,,,,,,
89,MuJoCo Wrap,google-deepmind/mujoco_warp,physics,{},,,,55.0,,,,,1,False,3.0,,,,,,,,,,,,,,,,,[],,,,,,,
90,Havok Physics,,physics,https://www.havok.com/havok-physics/,,,,,,,,,1,True,3.0,Per-title licensing model,,,,,,,,,,,,,,,,[],,,,,,,
91,Vulkan,KhronosGroup/Vulkan-Hpp,render,https://www.khronos.org/,,,,107.0,,,,,1,True,3.0,,,,,,,,,,,,,,,,,[],,,,,,,
92,OpenGL,KhronosGroup/Vulkan-Hpp,render,https://www.khronos.org/,,,,107.0,,,,,1,True,3.0,,,,,,,,,,,,,,,,,[],,,,,,,
93,Wren (Webots),cyberbotics/webots,render,https://cyberbotics.com/,,,,147.0,,,,,1,True,3.0,,,,,,,,,,,,,,,,,[],,,,,,,
94,Unreal Engine,,game,https://www.unrealengine.com/,,,,,,,,,1,True,3.0,EULA,,,,,,,,,,,,,,,,[],,,,,,,
95,DAVE,Field-Robotics-Lab/dave,maritime,https://field-robotics-lab.github.io/dave.doc/,,,,25.0,,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,
96,SVL Simulator,lgsvl/simulator,auto,{},,,,46.0,,,,,1,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,
97,Simbad,,robotics,https://simbad.sourceforge.net/,,,,,,,,,1,False,3.0,GNU-gpl2,,,,,,,,,,,,,,,,,,,,,,,
98,ROS1 Intergration for Unreal 4,code-iai/ROSIntegration,robotics,{},,,,33.0,,,,,1,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,
99,ManiSkill,haosulab/ManiSkill,ml,https://maniskill.ai/,,,,70.0,,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,
100,RoboVerse,RoboVerseOrg/RoboVerse,ml,https://roboverseorg.github.io/,,,,47.0,,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,
101,X-plane,,aerial,https://www.x-plane.com/,,,,,,,,,1,True,3.0,proprietary license,,,,,,,,,,,,,,,,,,,,,,,
102,RoboDK,,robotics,https://robodk.com/,,,,,,,,,1,True,3.0,proprietary license,,,,,,,,,,,,,,,,,,,,,,,
103,jMAVSim,PX4/jMAVSim,aerial,{},,,,29.0,,,,,1,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,
104,Stewart Platform Simulator,rawify/Stewart.js,domain,https://raw.org/research/inverse-kinematics-of-a-stewart-platform/,,4.0,4.0,,,,,,1,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,
105,LocoMuJoCo,robfiras/loco-mujoco,ml,https://loco-mujoco.readthedocs.io/,,8.0,8.0,15.0,,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,
106,MATLAB Robotics Systems Toolbox,,robotics,https://www.mathworks.com/products/robotics.html,,,,,,,,,1,True,3.0,Proprietary Software License,,,,,,,,,,,,,,,,,,,,,,,
107,Simscape,,physics,https://www.mathworks.com/products/simscape.html,,,,,,,,,1,True,3.0,Proprietary Software License,,,,,,,,,,,,,,,,,,,,,,,
108,Roadrunner,,domain,https://www.mathworks.com/products/roadrunner.html,,,,,,,,,1,True,2.0,Proprietary Software License,,,,,,,,,,,,,,,,,,,,,,,
109,Reinforcement Learning Toolbox,,ml,https://www.mathworks.com/products/reinforcement-learning.html,,,,,,,,,1,True,3.0,Proprietary Software License,,,,,,,,,,,,,,,,,,,,,,,
110,RoSi,,robotics,https://www.robotec.ai/products,,,,,,,,,1,True,3.0,Proprietary Software License,,,,,,,,,,,,,,,,,,,,,,,
111,RaiSim,raisimTech/raisimlib,physics,https://raisim.com/,,,,17.0,,,,,1,True,3.0,Proprietary Software License,,,,,,,,,,,,,,,,,,,,,,,
112,UWSim-NET,uji-ros-pkg/underwater_simulation,maritime,{},,,,25.0,,,,,1,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,
113,Moos-ivp,moos-ivp/moos-ivp,maritime,{},,,,18.0,,,,,1,False,3.0,GPLv3 LGPLv3 and Commercial,,,,,,,,,,,,,,,,,,,,,,,
114,Basilisk,AVSLab/basilisk,space,{},,,,123.0,,,,,1,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,
115,Astrobee,NASA/astrobee,space,{},,,,22.0,,,,,1,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,
116,K-Sim,kscalelabs/ksim,ml,https://docs.kscale.dev/docs/ksim,ksim,,,9.0,https://pypi.org/project/ksim,133.0,133.0,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,
117,Newton (Physics),newton-physics/newton,robotics,https://newton-physics.github.io/newton/,,,,102.0,,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,
118,Graspit!,graspit-simulator/graspit,domain,{},,,,25.0,,,,,1,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,
119,PyFleX,YunzhuLi/PyFleX,physics,{},,,,,,,,,1,False,3.0,Nvidia Software License,,,,,,,,,,,,,,,,,,,,,,,
120,Virtual RobotX,osrf/vrx,maritime,{},,,,38.0,,,,,1,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,
121,DexterousHands,PKU-MARL/DexterousHands,domain,{},,5.0,5.0,9.0,,,,,1,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,
122,gym-softrobot,skim0119/gym-softrobot/,domain,{},gym-softrobot,2.0,2.0,,https://pypi.org/project/gym-softrobot,100.0,100.0,,1,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,
123,Mars Explorer,dimikout3/MarsExplorer,space,{},,,,3.0,,,,,1,False,2.0,no license,,,,,,,,,,,,,,,,,,,,,,,
124,Spleenlab simulator,,aerial,https://spleenlab.com/,,,,,,,,,1,True,3.0,proprietary,,,,,,,,,,,,,,,,,,,,,,,
125,Roblox,,game,https://www.roblox.com/,,,,,,,,,1,True,3.0,proprietary,,,,,,,,,,,,,,,,,,,,,,,
126,FlightForge,ctu-mrs/mrs_uav_flightforge_simulator,aerial,{},,,,11.0,,,,,1,False,3.0,GLP-2.0,,,,,,,,,,,,,,,,,,,,,,,
127,ProtoTwin,,robotics,https://prototwin.com/,,,,,,,,,1,True,3.0,proprietary license,,,,,,,,,,,,,,,,,,,,,,,
128,pysimverse,cvzone/pysimverse,aerial,{},,,,2.0,,,,,1,False,3.0,MIT,,,,,,,,,,,,,,,,,,,,,,,
129,Gears,QuirkyCort/gears,robotics,https://gears.aposteriori.com.sg/,,,,14.0,,,,,1,True,3.0,GPLv3,,,,,,,,,,,,,,,,,,,,,,,
130,mvsim,MRPT/mvsim,flatsim,{},,,,9.0,,,,,0,False,,,,,,,,,,,,,,,,,,[],,https://mvsimulator.readthedocs.io/,,,,,
131,Pegasus Simulator,PegasusSimulator/PegasusSimulator,aerial,https://pegasussimulator.github.io/PegasusSimulator/,,,,6.0,,,,,0,True,,,,,,,,,,,,,,,,,,[],,,,,,,
132,Aerial Gym Simulator,ntnu-arl/aerial_gym_simulator,aerial,https://ntnu-arl.github.io/aerial_gym_simulator/,,,,4.0,,,,,0,True,,,,,,,,,,,,,,,,,,[],,,,,,,
133,RotorTM,arplaboratory/RotorTM,aerial,{},,,,3.0,,,,,0,False,,,,,,,,,,,,,,,,,,[],,,,,,,
134,rotorpy,spencerfolk/rotorpy,aerial,{},,,,10.0,,,,,0,False,,,,,,,,,,,,,,,,,,[],,,,,,,
135,PhysX 5,NVIDIA-Omniverse/PhysX,physics,https://nvidia-omniverse.github.io/PhysX/,,,,11.0,,,,,0,True,,,,,,,,,,,,,,,,,,[],,,,,,,
136,Unity Rendering Plugin,Unity-Technologies/NativeRenderingPlugin,render,https://docs.unity3d.com/Manual/NativePluginInterface.html,,,,13.0,,,,,0,True,,,,,,,,,,,,,,,,,,[],,,,,,,
137,Stonefish,patrykcieslak/stonefish,maritime,https://stonefish.readthedocs.io/,,,,13.0,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
138,Flatland,avidbots/flatland,flatsim,https://flatland-simulator.readthedocs.io/,,,,14.0,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
139,Ros2 For Unity,RobotecAI/ros2-for-unity,robotics,{},,,,12.0,,,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,
140,UnrealZoo,UnrealZoo/unrealzoo-gym,ml,https://unrealzoo.site/,,,,6.0,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
141,Deepdrive,deepdrive/deepdrive,ml,https://deepdrive.io/,,,,6.0,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
142,Safe Control Gym,utiasDSL/safe-control-gym,ml,https://www.dynsyslab.org/safe-robot-learning/,,,,20.0,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
143,Gibson,StanfordVL/GibsonEnv,ml,http://gibsonenv.stanford.edu/,,,,9.0,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
144,MetaDrive,metadriverse/metadrive/,ml,https://metadriverse.github.io/metadrive-simulator/,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
145,Arnold,arnold-benchmark/arnold,ml,https://arnold-benchmark.github.io/,,,,3.0,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
146,PyRep,stepjam/PyRep,ml,{},,,,20.0,,,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,
147,LunarSim,PUTvision/LunarSim,space,{},,,,2.0,,,,,0,False,,Missing,,,,,,,,,,,,,,,,,,,,,,,
148,MuJoCo playground,google-deepmind/mujoco_playground/,ml,https://playground.mujoco.org/,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
